Time:2020/09/24 15:47:09
5.865,82,44,0747,B8,
5.865,82,44,0749,B8,
5.881,82,44,0749,B8,
5.881,82,44,0744,B8,
5.881,83,46,0749,B9,
5.881,83,46,0748,B8,
5.896,84,46,074A,B8,
5.896,84,46,0747,B8,
5.896,84,46,074A,B8,
5.896,85,48,074A,B8,
5.912,86,48,0749,B8,
5.912,87,48,074C,B8,
5.912,88,48,0748,B8,
5.912,88,48,074B,B9,
5.912,89,48,0747,B8,
5.928,90,4A,074C,B8,
5.928,90,4A,0748,B8,
5.928,91,4A,074C,B8,
5.928,92,4A,0749,B8,
5.943,93,4A,074D,B8,
5.943,93,4C,074A,B8,
5.943,95,4C,074D,B8,
5.943,96,4C,074C,B8,
5.959,96,4C,074D,B8,
5.959,96,4C,074D,B8,
5.959,97,4C,0749,B8,
5.959,99,4E,074D,B8,
5.974,99,4E,074A,B8,
5.974,99,4E,074D,B8,
5.974,100,4E,074D,B8,
5.974,100,4E,0748,B8,
5.99,101,50,074D,B8,
5.99,101,50,074B,B8,
5.99,102,50,074D,B8,
5.99,103,50,074D,B8,
5.99,103,50,0749,B8,
6.006,103,50,074E,B8,
6.006,104,52,074D,B8,
6.006,103,52,0748,B8,
6.006,105,52,074E,B8,
6.021,105,52,074C,B8,
6.021,105,52,074E,B8,
6.021,105,54,074E,B8,
6.021,106,54,074B,B8,
6.037,106,54,074E,B8,
6.037,107,54,074E,B8,
6.037,108,54,074A,B8,
6.037,108,54,074E,B8,
6.052,108,56,074E,B8,
6.052,108,56,0749,B8,
6.052,109,56,074E,B8,
6.052,110,56,074D,B8,
6.068,110,56,0749,B8,
6.068,111,58,074E,B8,
6.068,111,58,074D,B8,
6.068,112,58,0749,B8,
6.084,113,58,074E,B8,
6.084,113,58,074D,B8,
6.084,113,5A,0748,B8,
6.084,114,5A,074E,B8,
6.084,115,5A,074D,B8,
6.099,116,5A,0748,B8,
6.099,116,5A,074E,B8,
6.099,117,5A,074E,B8,
6.099,117,5C,074A,B8,
6.115,117,5C,074F,B8,
6.115,118,5C,074E,B8,
6.115,119,5C,074C,B8,
6.115,119,5C,0749,B8,
6.13,119,5E,074F,B8,
6.13,121,5E,074F,B8,
6.13,121,5E,074B,B8,
6.13,122,5E,074F,B8,
6.146,123,5E,074F,B8,
6.146,123,5E,074E,B8,
6.146,124,60,074B,B8,
6.146,125,60,074F,B8,
6.162,125,60,074E,B8,
6.162,127,60,074B,B8,
6.162,126,60,074C,B8,
6.162,127,62,074C,B8,
6.177,127,62,074B,B8,
6.177,128,62,0749,B8,
6.177,127,62,0748,B8,
6.177,127,62,0748,B8,
6.177,126,62,0743,B8,
6.193,126,64,0745,B8,
6.193,125,64,0745,B8,
6.193,124,64,0745,B8,
6.193,123,64,0745,B8,
6.208,123,64,0744,B8,
6.208,121,66,0743,B8,
6.208,120,66,0741,B8,
6.208,120,66,073F,B8,
6.224,119,66,0743,B8,
6.224,118,66,0744,B8,
6.224,117,66,0743,B8,
6.224,116,68,0743,B8,
